Date,Open,High,Low,Close,Volume
10-12-18,51.752499,52.422501,51.164501,51.977501,36154000
11-12-18,52.824501,53.029999,51.992001,52.587502,27894000
12-12-18,53.400002,54.0825,53.1395,53.183998,30476000
13-12-18,53.4035,53.987999,52.696499,53.095001,26596000
14-12-18,52.499001,53.130001,52.039501,52.105,33732000
17-12-18,51.8755,52.657501,50.395,50.8265,47708000
18-12-18,51.304501,52.473999,51.071999,51.435501,43850000
19-12-18,51.699501,53.099998,50.4025,51.150501,49586000
20-12-18,50.906502,51.710999,49.818001,50.470501,53470000
21-12-18,50.764999,51.201,48.684502,48.977001,91920000
24-12-18,48.695,50.176998,48.505501,48.811001,31806000
26-12-18,49.4505,52,49.150002,51.973,47466000
27-12-18,50.857498,52.1945,49.849998,52.194,42196000
28-12-18,52.480999,52.778,51.654999,51.854,28296000
31-12-18,52.548,52.634998,51.179501,51.780499,29866000
02-01-19,50.828499,52.616001,50.7855,52.2925,30652000
03-01-19,52.049999,52.848999,50.703499,50.803001,36822000
04-01-19,51.629501,53.542,51.370899,53.5355,41878000
07-01-19,53.575001,53.700001,52.737999,53.419498,39638000
08-01-19,53.8055,54.228001,53.026501,53.813999,35298000
09-01-19,54.0825,54.1315,53.32,53.733002,23986000
10-01-19,53.382999,53.557499,52.885502,53.516499,29128000
11-01-19,53.159,53.188751,52.424,52.859501,30416000
14-01-19,52.346001,52.5765,52.062752,52.234501,22886000
15-01-19,52.508499,54.002499,52.367001,53.857498,29272000
16-01-19,54,54.618752,53.966999,54.0485,26636000
17-01-19,53.973499,54.59,53.674999,54.494999,24854000
18-01-19,55,55.417599,54.544998,54.912998,39112000
22-01-19,54.400002,54.5755,53.1735,53.526001,32270000
23-01-19,53.8675,54.246498,52.987499,53.7785,19340000
24-01-19,53.824001,53.973751,53.035,53.695,27226000
25-01-19,54.25,54.700001,54.091,54.5495,22382000
28-01-19,54.005501,54.150002,53.189999,53.504002,25686000
29-01-19,53.633999,53.7575,52.793251,53.030998,20436000
30-01-19,53.421501,54.549999,53.342499,54.452999,25596000
31-01-19,55.150002,55.866501,54.7705,55.818501,30766000
01-02-19,55.619999,56.25,55.244499,55.537498,29244000
04-02-19,55.632999,56.639999,55.451,56.639999,51530000
05-02-19,56.242001,57.342499,55.8624,57.2995,71044000
06-02-19,56.9785,57.349998,55.6385,55.761501,42112000
07-02-19,55.208,55.242001,54.299999,54.935501,40896000
08-02-19,54.349998,54.945499,54.327499,54.752998,21516000
11-02-19,54.8475,55.297249,54.643002,54.7505,21304000
12-02-19,55.34,56.264751,55.2925,56.068501,32182000
13-02-19,56.2495,56.7365,55.924999,56.007999,20996000
14-02-19,55.9025,56.411499,55.522251,56.0835,18952000
15-02-19,56.504002,56.5835,55.532501,55.682499,28996000
19-02-19,55.5,56.094501,55.5,55.928001,20928000
20-02-19,55.9995,56.170502,55.264,55.689999,21756000
21-02-19,55.542,55.597,54.625999,54.848499,28302000
22-02-19,55.044998,55.562,54.779999,55.518501,20990000
25-02-19,55.799999,55.926998,55.363499,55.470001,28262000
26-02-19,55.287498,55.975498,54.995998,55.7565,29426000
27-02-19,55.3475,55.898998,55.049999,55.802502,19368000
28-02-19,55.564999,56.3825,55.550499,55.995998,30850000
01-03-19,56.244999,57.148499,56.237499,57.0495,29006000
04-03-19,57.349499,57.914001,56.5345,57.389999,28920000
05-03-19,57.502998,58.480499,57.30975,58.101501,28864000
06-03-19,58.1245,58.3783,57.774502,57.893002,21986000
07-03-19,57.785999,57.837749,56.745499,57.165001,23332000
08-03-19,56.336498,57.354,56.165001,57.116001,24248000
11-03-19,57.2225,58.809502,57.2225,58.787998,34384000
12-03-19,58.912998,60,58.912998,59.66,40262000
13-03-19,60.032249,60.046501,59.597,59.666,28718000
14-03-19,59.725498,59.894001,59.223999,59.2775,23456000
15-03-19,59.668999,59.828499,59.130501,59.223,49236000
18-03-19,59.165001,59.5,58.871052,59.213001,25852000
19-03-19,59.440498,60,59.293499,59.942501,30414000
20-03-19,59.8675,61.356998,59.808498,61.198502,44548000
21-03-19,60.799999,61.5895,60.657501,61.577,24080000
22-03-19,61.316002,61.5,60.141251,60.275002,34284000
25-03-19,59.8465,60.319901,59.352001,59.650002,29936000
26-03-19,59.926498,60.141499,58.835999,59.230999,38024000
27-03-19,59.275002,59.377949,57.968498,58.651001,28004000
28-03-19,58.577,58.578251,57.97155,58.4245,19234000
29-03-19,58.744999,58.949501,58.144001,58.665501,25398000
01-04-19,59.205002,59.833,59.099998,59.7215,25050000
02-04-19,59.765999,60.067501,59.2855,60.024502,16558000
03-04-19,60.374001,60.814999,60.025002,60.296001,20286000
04-04-19,60.297001,60.783501,60.206501,60.75,19000000
05-04-19,60.7495,60.811001,60.251499,60.357498,18144000
08-04-19,60.394501,60.434502,59.993,60.192001,17204000
09-04-19,59.799999,60.114498,59.653999,59.862499,17528000
10-04-19,60.034,60.189251,59.821751,60.108002,14492000
11-04-19,60.198002,60.397999,60.0065,60.230999,14204000
12-04-19,60.5,60.9175,60.405499,60.893501,18668000
15-04-19,60.900002,61.209999,60.455502,61.055,23748000
16-04-19,61.25,61.541,61.006001,61.356499,17126000
17-04-19,61.650002,62.028,61.390999,61.817001,24438000
18-04-19,61.959,62.099998,61.730499,61.818501,26636000
22-04-19,61.7995,62.454498,61.415501,62.442001,16146000
23-04-19,62.5345,63.450001,62.319,63.227501,26398000
24-04-19,63.206001,63.400501,62.75,62.799999,20376000
25-04-19,63.238499,63.370399,62.601501,63.172501,22146000
26-04-19,63.450001,63.6535,63.015999,63.609001,24828000
29-04-19,63.700001,64.463501,63.314751,64.378998,49988000
30-04-19,59.25,59.640499,58.75,59.424,124140000
01-05-19,59.4025,59.4025,58.359001,58.403999,52784000
02-05-19,58.388,58.709499,57.750099,58.130501,38896000
03-05-19,58.682499,59.34,58.450001,59.27,39614000
06-05-19,58.313,59.5425,58.313,59.469501,31278000
07-05-19,59.023499,59.521999,58.051998,58.705002,31028000
08-05-19,58.600498,59.021198,58.286999,58.313499,26186000
09-05-19,57.9515,58.483002,57.5425,58.118999,23714000
10-05-19,58.179501,58.630001,57.125,58.213501,26290000
13-05-19,57.098,57.396999,56.105499,56.601501,37212000
14-05-19,56.8605,57.021,55.977501,56.021999,36732000
15-05-19,55.893501,58.566502,55.833302,58.210499,45786000
16-05-19,58.225498,59.408001,58.141998,58.949001,30628000
17-05-19,58.4235,59.0075,58.0005,58.115002,24172000
20-05-19,57.224998,57.339851,56.572151,56.942501,27066000
21-05-19,57.4245,57.635399,56.896999,57.481499,23196000
22-05-19,57.337502,57.925999,57.294498,57.570999,18290000
23-05-19,57.025002,57.298649,56.461201,57.038502,23978000
24-05-19,57.368,57.488251,56.583,56.6735,22240000
28-05-19,56.700001,57.57935,56.655998,56.7075,27300000
29-05-19,56.375999,56.455002,55.410999,55.823002,30764000
30-05-19,55.777,56.156502,55.605999,55.897499,19038000
31-05-19,55.064499,55.48,55.008999,55.181499,30156000
03-06-19,53.275002,53.275002,51.25,51.811501,102612000
04-06-19,52.145,52.802502,51.684502,52.6525,56670000
05-06-19,52.577,52.677502,51.524502,52.111,43368000
06-06-19,52.2495,52.3745,51.685001,52.216999,34064000
07-06-19,52.531502,53.546001,52.419998,53.301998,36048000
10-06-19,53.648998,54.632999,53.6161,54.019001,29284000
11-06-19,54.699001,55.099499,53.88015,53.936001,28734000
12-06-19,53.900002,54.046501,53.376999,53.851501,21220000
13-06-19,54.181999,54.7085,54.0075,54.438499,21154000
